record_id,customer_id,customer_archetype,customer_ltv,customer_failure_rate,customer_opted_out,subscription_id,subscription_paid_count,subscription_remaining_count,amount,failure_reason,attempt_count,hours_since_first_failure,interventions_count,is_weekend,action_taken,recovered,recovered_amount,recovery_time_hours,action_cost,friction,reward,provenance
rec_000012,75872,occasional,23245.09,0.15,False,sub_sim_75872,9,5,9999.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,0,0.0,24.0,15.0,1.0,-115.0,SYNTHETIC_TRAINING_DATA
rec_000013,31736,reliable,26372.32,0.04,False,sub_sim_31736,6,8,59999.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,1,59999.0,24.0,15.0,1.0,59884.0,SYNTHETIC_TRAINING_DATA
rec_000014,96395,occasional,18734.48,0.15,False,sub_sim_96395,3,7,24999.0,invalid_payment_method,1,0.0,0,0,REQUEST_ALTERNATE_METHOD,0,0.0,36.0,20.0,1.5,-170.0,SYNTHETIC_TRAINING_DATA
rec_000015,37339,reliable,98464.09,0.04,False,sub_sim_37339,7,2,9999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000016,7453,reliable,87298.69,0.04,False,sub_sim_7453,4,4,59999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000017,51498,occasional,19723.66,0.15,False,sub_sim_51498,2,7,9999.0,temporary_bank_failure,1,0.0,0,0,RETRY,1,9999.0,1.0,5.0,0.2,9974.0,SYNTHETIC_TRAINING_DATA
rec_000018,79106,occasional,14677.75,0.15,False,sub_sim_79106,4,5,24999.0,temporary_bank_failure,1,0.0,0,1,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000019,18242,reliable,24377.67,0.04,False,sub_sim_18242,9,10,59999.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,0,0.0,24.0,15.0,1.0,-115.0,SYNTHETIC_TRAINING_DATA
rec_000020,42868,occasional,36845.72,0.15,False,sub_sim_42868,7,3,24999.0,authentication_failed,1,0.0,0,0,PAYMENT_LINK,0,0.0,24.0,15.0,1.0,-115.0,SYNTHETIC_TRAINING_DATA
rec_000021,45316,occasional,41227.9,0.15,False,sub_sim_45316,3,3,2499.0,card_expired,1,0.0,0,0,WAIT,0,0.0,24.0,0.0,0.0,0.0,SYNTHETIC_TRAINING_DATA
rec_000022,46112,high_risk,8933.75,0.35,False,sub_sim_46112,5,4,9999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000023,51504,reliable,25256.87,0.04,False,sub_sim_51504,3,6,999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000024,18272,reliable,49988.69,0.04,False,sub_sim_18272,3,10,59999.0,insufficient_funds,1,0.0,0,1,PAYMENT_LINK,1,59999.0,24.0,15.0,1.0,59884.0,SYNTHETIC_TRAINING_DATA
rec_000025,94265,reliable,25834.78,0.04,False,sub_sim_94265,6,9,24999.0,invalid_payment_method,1,0.0,0,1,RETRY,0,0.0,1.0,5.0,0.2,-75.0,SYNTHETIC_TRAINING_DATA
rec_000026,78496,reliable,61118.8,0.04,False,sub_sim_78496,3,8,9999.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,1,9999.0,24.0,15.0,1.0,9884.0,SYNTHETIC_TRAINING_DATA
rec_000027,49176,occasional,36940.89,0.15,False,sub_sim_49176,6,9,59999.0,insufficient_funds,1,0.0,0,1,REQUEST_ALTERNATE_METHOD,0,0.0,36.0,20.0,1.5,-170.0,SYNTHETIC_TRAINING_DATA
rec_000028,6263,reliable,89196.93,0.04,False,sub_sim_6263,7,9,4999.0,invalid_payment_method,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-75.0,SYNTHETIC_TRAINING_DATA
rec_000029,65018,occasional,22887.57,0.15,False,sub_sim_65018,9,9,999.0,insufficient_funds,1,0.0,0,1,PAYMENT_LINK,1,999.0,24.0,15.0,1.0,884.0,SYNTHETIC_TRAINING_DATA
rec_000030,95277,reliable,80878.92,0.04,False,sub_sim_95277,6,7,4999.0,temporary_bank_failure,1,0.0,0,0,RETRY,1,4999.0,1.0,5.0,0.2,4974.0,SYNTHETIC_TRAINING_DATA
rec_000031,95287,reliable,38515.86,0.04,False,sub_sim_95287,2,6,999.0,temporary_bank_failure,1,0.0,0,0,RETRY,1,999.0,1.0,5.0,0.2,974.0,SYNTHETIC_TRAINING_DATA
rec_000032,82065,reliable,41485.42,0.04,False,sub_sim_82065,9,8,59999.0,temporary_bank_failure,1,0.0,0,0,RETRY,1,59999.0,1.0,5.0,0.2,59974.0,SYNTHETIC_TRAINING_DATA
rec_000033,20623,reliable,74112.33,0.04,False,sub_sim_20623,7,2,24999.0,insufficient_funds,1,0.0,0,1,SEND_REMINDER,0,0.0,12.0,10.0,1.2,-130.0,SYNTHETIC_TRAINING_DATA
rec_000034,66722,reliable,73140.04,0.04,False,sub_sim_66722,7,8,4999.0,invalid_payment_method,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-75.0,SYNTHETIC_TRAINING_DATA
rec_000035,57010,high_risk,18647.99,0.35,False,sub_sim_57010,9,2,24999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000036,6919,reliable,39511.06,0.04,False,sub_sim_6919,4,10,59999.0,temporary_bank_failure,1,0.0,0,0,RETRY,1,59999.0,1.0,5.0,0.2,59974.0,SYNTHETIC_TRAINING_DATA
rec_000037,73547,high_risk,15362.33,0.35,False,sub_sim_73547,8,2,2499.0,insufficient_funds,1,0.0,0,0,SEND_REMINDER,1,2499.0,12.0,10.0,1.2,2369.0,SYNTHETIC_TRAINING_DATA
rec_000038,11604,reliable,93846.51,0.04,False,sub_sim_11604,1,7,2499.0,temporary_bank_failure,1,0.0,0,0,ESCALATE_TO_HUMAN,1,2499.0,48.0,150.0,0.8,2269.0,SYNTHETIC_TRAINING_DATA
rec_000039,90854,reliable,22930.7,0.04,False,sub_sim_90854,6,4,4999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000040,6704,reliable,92962.99,0.04,False,sub_sim_6704,6,3,4999.0,insufficient_funds,1,0.0,0,0,SEND_REMINDER,1,4999.0,12.0,10.0,1.2,4869.0,SYNTHETIC_TRAINING_DATA
rec_000041,71977,occasional,18707.46,0.15,False,sub_sim_71977,9,8,59999.0,card_expired,1,0.0,0,1,REQUEST_ALTERNATE_METHOD,1,59999.0,36.0,20.0,1.5,59829.0,SYNTHETIC_TRAINING_DATA
rec_000042,74866,reliable,70327.46,0.04,False,sub_sim_74866,3,5,4999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000043,65803,high_risk,19985.78,0.35,False,sub_sim_65803,8,5,9999.0,invalid_payment_method,1,0.0,0,0,WAIT,0,0.0,24.0,0.0,0.0,0.0,SYNTHETIC_TRAINING_DATA
rec_000044,71500,reliable,57032.44,0.04,False,sub_sim_71500,5,2,9999.0,invalid_payment_method,1,0.0,0,1,SEND_REMINDER,0,0.0,12.0,10.0,1.2,-130.0,SYNTHETIC_TRAINING_DATA
rec_000045,95819,reliable,69246.78,0.04,False,sub_sim_95819,1,5,4999.0,invalid_payment_method,1,0.0,0,0,REQUEST_ALTERNATE_METHOD,1,4999.0,36.0,20.0,1.5,4829.0,SYNTHETIC_TRAINING_DATA
rec_000046,61933,occasional,16895.68,0.15,False,sub_sim_61933,5,5,24999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000047,50578,occasional,37540.38,0.15,False,sub_sim_50578,7,6,59999.0,temporary_bank_failure,1,0.0,0,1,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000048,85985,occasional,39244.77,0.15,False,sub_sim_85985,1,8,999.0,network_error,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000049,65895,reliable,61482.14,0.04,False,sub_sim_65895,4,6,2499.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000050,73767,high_risk,21386.3,0.35,False,sub_sim_73767,3,6,24999.0,network_error,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000051,45454,reliable,48025.66,0.04,False,sub_sim_45454,4,7,4999.0,network_error,1,0.0,0,1,PAYMENT_LINK,1,4999.0,24.0,15.0,1.0,4884.0,SYNTHETIC_TRAINING_DATA
rec_000052,95610,reliable,56748.55,0.04,False,sub_sim_95610,4,10,2499.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000053,5402,occasional,38881.78,0.15,False,sub_sim_5402,1,2,4999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000054,45533,high_risk,9523.21,0.35,False,sub_sim_45533,4,5,4999.0,insufficient_funds,1,0.0,0,1,PAYMENT_LINK,0,0.0,24.0,15.0,1.0,-115.0,SYNTHETIC_TRAINING_DATA
rec_000055,82875,occasional,31931.84,0.15,False,sub_sim_82875,5,10,59999.0,insufficient_funds,1,0.0,0,1,SEND_REMINDER,0,0.0,12.0,10.0,1.2,-130.0,SYNTHETIC_TRAINING_DATA
rec_000056,14643,reliable,61558.56,0.04,False,sub_sim_14643,9,8,9999.0,invalid_payment_method,1,0.0,0,1,RETRY,0,0.0,1.0,5.0,0.2,-75.0,SYNTHETIC_TRAINING_DATA
rec_000057,34149,occasional,12887.98,0.15,False,sub_sim_34149,3,10,999.0,temporary_bank_failure,1,0.0,0,1,RETRY,1,999.0,1.0,5.0,0.2,974.0,SYNTHETIC_TRAINING_DATA
rec_000058,95858,reliable,60953.28,0.04,False,sub_sim_95858,9,10,59999.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,1,59999.0,24.0,15.0,1.0,59884.0,SYNTHETIC_TRAINING_DATA
rec_000059,76920,reliable,43109.06,0.04,False,sub_sim_76920,1,7,4999.0,insufficient_funds,1,0.0,0,0,SEND_REMINDER,0,0.0,12.0,10.0,1.2,-130.0,SYNTHETIC_TRAINING_DATA
rec_000060,31716,reliable,82784.43,0.04,False,sub_sim_31716,6,7,4999.0,card_expired,1,0.0,0,0,PAYMENT_LINK,1,4999.0,24.0,15.0,1.0,4884.0,SYNTHETIC_TRAINING_DATA
rec_000061,44864,reliable,85906.94,0.04,False,sub_sim_44864,3,2,2499.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,1,2499.0,24.0,15.0,1.0,2384.0,SYNTHETIC_TRAINING_DATA
rec_000062,55708,reliable,34560.78,0.04,False,sub_sim_55708,8,6,9999.0,temporary_bank_failure,1,0.0,0,0,WAIT,0,0.0,6.0,0.0,0.0,0.0,SYNTHETIC_TRAINING_DATA
rec_000063,70648,reliable,37287.11,0.04,False,sub_sim_70648,2,7,2499.0,invalid_payment_method,1,0.0,0,0,REQUEST_ALTERNATE_METHOD,1,2499.0,36.0,20.0,1.5,2329.0,SYNTHETIC_TRAINING_DATA
rec_000064,28565,high_risk,6934.59,0.35,False,sub_sim_28565,5,6,9999.0,temporary_bank_failure,1,0.0,0,0,STOP_RECOVERY,0,0.0,0.0,0.0,0.0,0.0,SYNTHETIC_TRAINING_DATA
rec_000065,55303,reliable,29822.94,0.04,False,sub_sim_55303,5,3,24999.0,temporary_bank_failure,1,0.0,0,0,SEND_REMINDER,0,0.0,12.0,10.0,1.2,-130.0,SYNTHETIC_TRAINING_DATA
rec_000066,11434,reliable,60218.99,0.04,False,sub_sim_11434,7,6,2499.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000067,1446,reliable,29432.44,0.04,False,sub_sim_1446,4,9,999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000068,55979,occasional,40003.04,0.15,False,sub_sim_55979,3,2,2499.0,temporary_bank_failure,1,0.0,0,1,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000069,60382,reliable,77001.87,0.04,False,sub_sim_60382,5,2,24999.0,network_error,1,0.0,0,1,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000070,47953,reliable,60477.15,0.04,False,sub_sim_47953,6,9,4999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000071,20039,occasional,41946.94,0.15,False,sub_sim_20039,1,6,24999.0,insufficient_funds,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-75.0,SYNTHETIC_TRAINING_DATA
rec_000072,29572,reliable,31581.02,0.04,False,sub_sim_29572,6,9,4999.0,authentication_failed,1,0.0,0,0,PAYMENT_LINK,1,4999.0,24.0,15.0,1.0,4884.0,SYNTHETIC_TRAINING_DATA
rec_000073,16935,reliable,54670.74,0.04,False,sub_sim_16935,7,9,4999.0,insufficient_funds,1,0.0,0,0,SEND_REMINDER,0,0.0,12.0,10.0,1.2,-130.0,SYNTHETIC_TRAINING_DATA
rec_000074,63178,reliable,63533.52,0.04,False,sub_sim_63178,8,2,4999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000075,24430,occasional,48287.13,0.15,False,sub_sim_24430,9,4,24999.0,insufficient_funds,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-75.0,SYNTHETIC_TRAINING_DATA
rec_000076,14130,reliable,68324.89,0.04,False,sub_sim_14130,4,7,24999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000077,39704,high_risk,10551.08,0.35,False,sub_sim_39704,2,8,59999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000078,43364,occasional,42760.7,0.15,False,sub_sim_43364,2,4,9999.0,temporary_bank_failure,1,0.0,0,0,RETRY,1,9999.0,1.0,5.0,0.2,9974.0,SYNTHETIC_TRAINING_DATA
rec_000079,33143,reliable,40086.47,0.04,False,sub_sim_33143,6,5,999.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,1,999.0,24.0,15.0,1.0,884.0,SYNTHETIC_TRAINING_DATA
rec_000080,27894,reliable,85940.82,0.04,False,sub_sim_27894,6,5,59999.0,invalid_payment_method,1,0.0,0,0,WAIT,0,0.0,24.0,0.0,0.0,0.0,SYNTHETIC_TRAINING_DATA
rec_000081,86472,reliable,50206.76,0.04,False,sub_sim_86472,2,3,999.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,1,999.0,24.0,15.0,1.0,884.0,SYNTHETIC_TRAINING_DATA
rec_000082,2528,reliable,37628.79,0.04,False,sub_sim_2528,4,3,2499.0,invalid_payment_method,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-75.0,SYNTHETIC_TRAINING_DATA
rec_000083,88050,occasional,48765.44,0.15,False,sub_sim_88050,7,8,999.0,card_expired,1,0.0,0,1,RETRY,0,0.0,1.0,5.0,0.2,-75.0,SYNTHETIC_TRAINING_DATA
rec_000084,45612,reliable,51212.94,0.04,False,sub_sim_45612,2,6,24999.0,invalid_payment_method,1,0.0,0,0,REQUEST_ALTERNATE_METHOD,0,0.0,36.0,20.0,1.5,-170.0,SYNTHETIC_TRAINING_DATA
rec_000085,30997,high_risk,6322.56,0.35,False,sub_sim_30997,9,2,59999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000086,51312,reliable,43946.6,0.04,False,sub_sim_51312,9,8,59999.0,insufficient_funds,1,0.0,0,0,SEND_REMINDER,0,0.0,12.0,10.0,1.2,-130.0,SYNTHETIC_TRAINING_DATA
rec_000087,71270,reliable,54685.35,0.04,False,sub_sim_71270,4,6,999.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,0,0.0,24.0,15.0,1.0,-115.0,SYNTHETIC_TRAINING_DATA
rec_000088,55923,reliable,91850.23,0.04,False,sub_sim_55923,9,5,59999.0,invalid_payment_method,1,0.0,0,0,REQUEST_ALTERNATE_METHOD,1,59999.0,36.0,20.0,1.5,59829.0,SYNTHETIC_TRAINING_DATA
rec_000089,72781,reliable,44475.32,0.04,False,sub_sim_72781,4,9,9999.0,insufficient_funds,1,0.0,0,1,ESCALATE_TO_HUMAN,1,9999.0,48.0,150.0,0.8,9769.0,SYNTHETIC_TRAINING_DATA
rec_000090,47090,reliable,62586.73,0.04,False,sub_sim_47090,2,5,59999.0,authentication_failed,1,0.0,0,0,PAYMENT_LINK,0,0.0,24.0,15.0,1.0,-115.0,SYNTHETIC_TRAINING_DATA
rec_000091,85701,occasional,39807.36,0.15,False,sub_sim_85701,8,3,9999.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,0,0.0,24.0,15.0,1.0,-115.0,SYNTHETIC_TRAINING_DATA
rec_000092,52796,reliable,48867.93,0.04,False,sub_sim_52796,6,8,59999.0,temporary_bank_failure,1,0.0,0,0,REQUEST_ALTERNATE_METHOD,0,0.0,36.0,20.0,1.5,-170.0,SYNTHETIC_TRAINING_DATA
rec_000093,78519,reliable,63534.83,0.04,False,sub_sim_78519,8,9,4999.0,invalid_payment_method,1,0.0,0,0,REQUEST_ALTERNATE_METHOD,1,4999.0,36.0,20.0,1.5,4829.0,SYNTHETIC_TRAINING_DATA
rec_000094,48230,reliable,92060.23,0.04,False,sub_sim_48230,9,4,2499.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000095,98737,reliable,29318.47,0.04,False,sub_sim_98737,4,2,2499.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,1,2499.0,24.0,15.0,1.0,2384.0,SYNTHETIC_TRAINING_DATA
rec_000096,49622,reliable,54156.01,0.04,False,sub_sim_49622,6,7,2499.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,1,2499.0,24.0,15.0,1.0,2384.0,SYNTHETIC_TRAINING_DATA
rec_000097,64777,occasional,32419.09,0.15,False,sub_sim_64777,9,9,59999.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,1,59999.0,24.0,15.0,1.0,59884.0,SYNTHETIC_TRAINING_DATA
rec_000098,44872,reliable,31347.47,0.04,False,sub_sim_44872,1,9,4999.0,temporary_bank_failure,1,0.0,0,0,RETRY,1,4999.0,1.0,5.0,0.2,4974.0,SYNTHETIC_TRAINING_DATA
rec_000099,63089,reliable,76566.69,0.04,False,sub_sim_63089,3,5,2499.0,insufficient_funds,1,0.0,0,0,WAIT,0,0.0,24.0,0.0,0.0,0.0,SYNTHETIC_TRAINING_DATA
rec_000100,39694,high_risk,5036.94,0.35,False,sub_sim_39694,2,4,9999.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,1,9999.0,24.0,15.0,1.0,9884.0,SYNTHETIC_TRAINING_DATA
rec_000101,2558,reliable,71826.49,0.04,False,sub_sim_2558,9,3,9999.0,network_error,1,0.0,0,1,WAIT,0,0.0,24.0,0.0,0.0,0.0,SYNTHETIC_TRAINING_DATA
rec_000102,92475,high_risk,15113.08,0.35,False,sub_sim_92475,6,9,24999.0,network_error,1,0.0,0,0,PAYMENT_LINK,1,24999.0,24.0,15.0,1.0,24884.0,SYNTHETIC_TRAINING_DATA
rec_000103,32037,reliable,43974.01,0.04,False,sub_sim_32037,1,6,2499.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000104,52903,reliable,89629.44,0.04,False,sub_sim_52903,2,8,24999.0,insufficient_funds,1,0.0,0,1,RETRY,0,0.0,1.0,5.0,0.2,-75.0,SYNTHETIC_TRAINING_DATA
rec_000105,87625,reliable,53995.16,0.04,False,sub_sim_87625,4,4,4999.0,temporary_bank_failure,1,0.0,0,1,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000106,6657,occasional,35321.09,0.15,False,sub_sim_6657,5,5,59999.0,temporary_bank_failure,1,0.0,0,1,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000107,10481,reliable,79091.96,0.04,False,sub_sim_10481,7,9,2499.0,card_expired,1,0.0,0,0,PAYMENT_LINK,1,2499.0,24.0,15.0,1.0,2384.0,SYNTHETIC_TRAINING_DATA
rec_000108,31578,reliable,37725.83,0.04,False,sub_sim_31578,7,6,59999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000109,52778,high_risk,20691.64,0.35,False,sub_sim_52778,4,8,2499.0,invalid_payment_method,1,0.0,0,0,ESCALATE_TO_HUMAN,1,2499.0,48.0,150.0,0.8,2269.0,SYNTHETIC_TRAINING_DATA
rec_000110,73026,reliable,76752.8,0.04,False,sub_sim_73026,7,7,2499.0,insufficient_funds,1,0.0,0,1,PAYMENT_LINK,0,0.0,24.0,15.0,1.0,-115.0,SYNTHETIC_TRAINING_DATA
rec_000111,68871,reliable,23956.16,0.04,False,sub_sim_68871,5,9,999.0,invalid_payment_method,1,0.0,0,0,REQUEST_ALTERNATE_METHOD,1,999.0,36.0,20.0,1.5,829.0,SYNTHETIC_TRAINING_DATA
rec_000112,70090,reliable,28878.5,0.04,False,sub_sim_70090,8,8,4999.0,card_expired,1,0.0,0,0,REQUEST_ALTERNATE_METHOD,1,4999.0,36.0,20.0,1.5,4829.0,SYNTHETIC_TRAINING_DATA
rec_000113,31020,reliable,36349.25,0.04,False,sub_sim_31020,2,2,9999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000114,12424,occasional,24475.81,0.15,False,sub_sim_12424,6,8,2499.0,invalid_payment_method,1,0.0,0,1,REQUEST_ALTERNATE_METHOD,0,0.0,36.0,20.0,1.5,-170.0,SYNTHETIC_TRAINING_DATA
rec_000115,97614,reliable,27783.5,0.04,False,sub_sim_97614,1,6,999.0,invalid_payment_method,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-75.0,SYNTHETIC_TRAINING_DATA
rec_000116,4753,occasional,25757.79,0.15,False,sub_sim_4753,2,4,999.0,network_error,1,0.0,0,1,STOP_RECOVERY,0,0.0,0.0,0.0,0.0,0.0,SYNTHETIC_TRAINING_DATA
rec_000117,42441,occasional,33801.16,0.15,False,sub_sim_42441,6,7,2499.0,authentication_failed,1,0.0,0,0,PAYMENT_LINK,0,0.0,24.0,15.0,1.0,-115.0,SYNTHETIC_TRAINING_DATA
rec_000118,87978,reliable,48876.97,0.04,False,sub_sim_87978,3,10,24999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000119,7089,reliable,48497.05,0.04,False,sub_sim_7089,6,6,999.0,temporary_bank_failure,1,0.0,0,0,RETRY,1,999.0,1.0,5.0,0.2,974.0,SYNTHETIC_TRAINING_DATA
rec_000120,98943,occasional,19511.66,0.15,False,sub_sim_98943,3,4,2499.0,temporary_bank_failure,1,0.0,0,0,RETRY,1,2499.0,1.0,5.0,0.2,2474.0,SYNTHETIC_TRAINING_DATA
rec_000121,53676,reliable,71587.14,0.04,False,sub_sim_53676,8,8,24999.0,insufficient_funds,1,0.0,0,1,PAYMENT_LINK,1,24999.0,24.0,15.0,1.0,24884.0,SYNTHETIC_TRAINING_DATA
rec_000122,45275,reliable,65435.98,0.04,False,sub_sim_45275,8,6,4999.0,insufficient_funds,1,0.0,0,0,PAYMENT_LINK,1,4999.0,24.0,15.0,1.0,4884.0,SYNTHETIC_TRAINING_DATA
rec_000123,56424,reliable,49322.09,0.04,False,sub_sim_56424,2,10,24999.0,card_expired,1,0.0,0,0,REQUEST_ALTERNATE_METHOD,1,24999.0,36.0,20.0,1.5,24829.0,SYNTHETIC_TRAINING_DATA
